23128,22853,-275
22561,23583,1022
22774,22623,-151
22620,22038,-582
23144,23724,580
22309,22677,368
22276,22383,107
21858,22007,149
23166,22121,-1045
21983,22128,145
22310,23027,717
22263,22709,446
22706,22456,-250
23101,23474,373
22728,22700,-28
22753,22449,-304
23143,23132,-11
22704,23942,1238
23003,22725,-278
23572,22824,-748
21676,22732,1056
22960,23130,170
22364,22275,-89
21903,22888,985
22606,23227,621
22432,22698,266
22286,22319,33
22277,22726,449
22276,22049,-227
22281,22286,5
23015,24600,1585
22078,22466,388
22734,23019,285
23083,22725,-358
23109,22166,-943
23156,23443,287
23103,22731,-372
22705,21852,-853
22275,22309,34
22752,21959,-793
22290,22289,-1
22724,22296,-428
23566,22666,-900
21793,24617,2824
22708,22740,32
21856,22714,858
22293,22277,-16
23556,22685,-871
21440,23137,1697
22706,22706,0
22709,22837,128
23146,23153,7
22632,23429,797
22497,23550,1053
23144,21862,-1282
22688,22828,140
22301,24749,2448
25369,22469,-2900
23159,22292,-867
22324,22042,-282
22696,22114,-582
22696,22691,-5
22715,23661,946
23121,22943,-178
22719,22728,9
23555,22296,-1259
22673,22710,37
23146,23024,-122
23108,21860,-1248
22234,23796,1562
22742,22942,200
23149,23141,-8
22439,22852,413
22971,22989,18
22758,22059,-699
22924,22169,-755
22186,22118,-68
22324,23156,832
23126,22543,-583
23140,23082,-58
22580,22436,-144
22726,23133,407
24990,22105,-2885
22367,22301,-66
22920,23126,206
23128,23419,291
23123,22423,-700
22702,22596,-106
23125,22713,-412
22728,22715,-13
22706,22899,193
22706,23130,424
22869,22074,-795
22724,22862,138
22610,22922,312
24193,23120,-1073
22122,23393,1271
23146,22693,-453
23146,23330,184
21568,22976,1408
22044,23116,1072
23366,23617,251
22683,22098,-585
22998,23105,107
23146,22828,-318
22939,22012,-927
22755,23152,397
22445,22843,398
24673,22208,-2465
22693,22796,103
23138,23297,159
23154,23127,-27
22443,23826,1383
22103,22443,340
23136,23071,-65
22725,22898,173
22977,22063,-914
22265,23068,803
23511,22406,-1105
22557,23283,726
23151,24607,1456
22739,22172,-567
23079,23568,489
23116,22753,-363
21879,22828,949
22536,22326,-210
22664,22108,-556
23545,22717,-828
23099,22859,-240
22683,22946,263
22686,23142,456
22833,22992,159
23477,22070,-1407
22900,24475,1575
22595,22357,-238
22732,22532,-200
23116,23139,23
22584,23421,837
22354,23492,1138
21871,23116,1245
22727,22414,-313
23156,23496,340
22096,22108,12
23567,22680,-887
23138,22933,-205
21883,22088,205
22419,24634,2215
22137,23469,1332
23097,22687,-410
23544,23091,-453
23109,23142,33
23113,21808,-1305
22375,22722,347
23549,21998,-1551
22692,22715,23
23101,23115,14
22610,22293,-317
23552,22662,-890
23551,23436,-115
24534,22694,-1840
22711,22282,-429
23144,22306,-838
22608,23155,547
22244,22265,21
23169,22695,-474
23479,23013,-466
22345,22671,326
22301,22689,388
22522,22909,387
22724,22700,-24
22613,22786,173
22715,23126,411
24555,22298,-2257
23565,22689,-876
22302,22402,100
22639,23038,399
22375,23570,1195
22317,22820,503
23090,22217,-873
21903,22738,835
23149,23063,-86
22781,22742,-39
22727,22442,-285
23020,22625,-395
22398,22697,299
24179,23176,-1003
22235,23201,966
23531,22141,-1390
22459,22856,397
22297,22764,467
21480,23897,2417
22706,22185,-521
23066,22434,-632
22326,22324,-2
22700,22876,176
22451,22561,110
22342,22449,107
21472,22698,1226
24494,23146,-1348
22645,22841,196
22470,22945,475
22645,23565,920
23138,22681,-457
22293,23123,830
23385,23682,297
22739,22091,-648
23139,22445,-694
23489,23120,-369
23531,22532,-999
22380,22920,540
23529,24140,611
22773,23524,751
22718,22187,-531
23153,22499,-654
22950,22805,-145
22374,23256,882
22854,23171,317
23125,23113,-12
23152,22744,-408
23073,23527,454
22781,23232,451
22320,23241,921
22885,23086,201
23117,24971,1854
22053,22122,69
22394,22522,128
22345,22135,-210
22662,23146,484
22281,22672,391
23140,22713,-427
23011,21940,-1071
22898,22716,-182
23164,23160,-4
22330,23132,802
22730,21849,-881
23130,23074,-56
22736,24354,1618
22721,21926,-795
22658,22967,309
23522,22357,-1165
22712,22458,-254
22284,22737,453
21984,23132,1148
23100,22753,-347
22403,22572,169
21986,22287,301
